[922, 859, 824, 134, 94, 93, 84, 84, 74, 58, 43, 42, 42, 39, 38, 37, 33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 938]
[859, 824, 134, 94, 93, 84, 84, 74, 58, 43, 42, 42, 39, 38, 37, 33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 922, 938]
[824, 134, 94, 93, 84, 84, 74, 58, 43, 42, 42, 39, 38, 37, 33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 859, 922, 938]
[134, 94, 93, 84, 84, 74, 58, 43, 42, 42, 39, 38, 37, 33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 824, 859, 922, 938]
[94, 93, 84, 84, 74, 58, 43, 42, 42, 39, 38, 37, 33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 134, 824, 859, 922, 938]
[93, 84, 84, 74, 58, 43, 42, 42, 39, 38, 37, 33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 94, 134, 824, 859, 922, 938]
[84, 84, 74, 58, 43, 42, 42, 39, 38, 37, 33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 93, 94, 134, 824, 859, 922, 938]
[84, 74, 58, 43, 42, 42, 39, 38, 37, 33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 84, 93, 94, 134, 824, 859, 922, 938]
[74, 58, 43, 42, 42, 39, 38, 37, 33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[58, 43, 42, 42, 39, 38, 37, 33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[43, 42, 42, 39, 38, 37, 33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[42, 42, 39, 38, 37, 33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[42, 39, 38, 37, 33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[39, 38, 37, 33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[38, 37, 33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 39, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[37, 33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 38, 39, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[33, 31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 37, 38, 39, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[31, 28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 33, 37, 38, 39, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[28, 26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 31, 33, 37, 38, 39, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[26, 24, -20, -21, -23, -26, -64, -73, -94, -98, 28, 31, 33, 37, 38, 39, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[24, -20, -21, -23, -26, -64, -73, -94, -98, 26, 28, 31, 33, 37, 38, 39, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[-20, -21, -23, -26, -64, -73, -94, -98, 24, 26, 28, 31, 33, 37, 38, 39, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[-21, -23, -26, -64, -73, -94, -98, -20, 24, 26, 28, 31, 33, 37, 38, 39, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[-23, -26, -64, -73, -94, -98, -21, -20, 24, 26, 28, 31, 33, 37, 38, 39, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[-26, -64, -73, -94, -98, -23, -21, -20, 24, 26, 28, 31, 33, 37, 38, 39, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[-64, -73, -94, -98, -26, -23, -21, -20, 24, 26, 28, 31, 33, 37, 38, 39, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[-73, -94, -98, -64, -26, -23, -21, -20, 24, 26, 28, 31, 33, 37, 38, 39, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[-94, -98, -73, -64, -26, -23, -21, -20, 24, 26, 28, 31, 33, 37, 38, 39, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[-98, -94, -73, -64, -26, -23, -21, -20, 24, 26, 28, 31, 33, 37, 38, 39, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
[-98, -94, -73, -64, -26, -23, -21, -20, 24, 26, 28, 31, 33, 37, 38, 39, 42, 42, 43, 58, 74, 84, 84, 93, 94, 134, 824, 859, 922, 938]
